
Similarity Threshold,Article ID,Title,Journal,Authors,Affiliations,Keywords,Cluster to which the article was assigned,Number of articles in the selected cluster,Cluster ultimately selected in Phase 2 matching,Status of ReCiter's determination for this article with respect to reference standard
0.3,17498810,Characterization of rat rostral raphe primary cultures: multiplex quantification of serotonergic markers.,Journal of neuroscience methods,"Margaret null Czesak, Ariel M Burns, Federico null Remes lenicov, Paul R Albert, ","Ottawa Health Research Institute (Neuroscience), Department of Cellular and Molecular Medicine, University of Ottawa, Ottawa, Canada K1H 8M5., ","Animals,Biological Markers,Cell Culture Techniques,Cell Differentiation,Cells, Cultured,Gene Expression Regulation, Developmental,Neurochemistry,Neurons,Nuclear Proteins,RNA, Messenger,Raphe Nuclei,Rats,Receptor, Serotonin, 5-HT1A,Reproducibility of Results,Reverse Transcriptase Polymerase Chain Reaction,Serotonin,Transcription Factors,Tryptophan Hydroxylase,",7,37,No,True Negative
0.3,17394259,The Freud-1/CC2D1A family: transcriptional regulators implicated in mental retardation.,Journal of neuroscience research,"Anastasia null Rogaeva, Kimberly null Galaraga, Paul R Albert, ","Ottawa Health Research Institute (Neuroscience) and Department of Cellular and Molecular Medicine, University of Ottawa, Ottawa, Ontario, Canada., ","Animals,DNA-Binding Proteins,Gene Expression Regulation,Helix-Loop-Helix Motifs,Humans,Intellectual Disability,",7,37,No,True Negative
0.3,16765607,RGS17/RGSZ2 and the RZ/A family of regulators of G-protein signaling.,"Seminars in cell ","Caroline null Nunn, Helen null Mao, Peter null Chidiac, Paul R Albert, ","Department of Physiology and Pharmacology, University of Western Ontario, London, Ont., Canada, N6A 5C1., ","Animals,Calcium,Cysteine,GTP-Binding Proteins,GTPase-Activating Proteins,Humans,Models, Biological,Palmitic Acid,Protein Binding,Protein Structure, Tertiary,RGS Proteins,Signal Transduction,Subcellular Fractions,Tissue Distribution,Ubiquitin,",7,37,No,True Negative
0.3,16467535,Cell-specific repressor or enhancer activities of Deaf-1 at a serotonin 1A receptor gene polymorphism.,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Margaret null Czesak, Sylvie null Lemonde, Erica A Peterson, Anastasia null Rogaeva, Paul R Albert, ","Ottawa Health Research Institute (Neuroscience), Department of Cellular and Molecular Medicine, University of Ottawa, Ottawa, K1H 8M5, Canada., ","Cell Line, Tumor,Gene Expression Regulation,Humans,Mood Disorders,Neuroblastoma,Nuclear Proteins,Polymorphism, Genetic,Receptor, Serotonin, 5-HT1A,Transfection,",7,37,No,True Negative
0.3,16410407,Molecular determinants in the second intracellular loop of the 5-hydroxytryptamine-1A receptor for G-protein coupling.,Molecular pharmacology,"Neena null Kushwaha, Shannon C Harwood, Ariel M Wilson, Miles null Berger, Laurence H Tecott, Bryan L Roth, Paul R Albert, ","Ottawa Health Research Institute (Neuroscience), and Department of Cellular and Molecular Medicine, University of Ottawa, 451 Smyth Road, Ottawa, Ontario, Canada, K1H 8M5., ","Amino Acid Sequence,Animals,Binding Sites,Calcium Signaling,Cell Line,DNA Primers,GTP-Binding Proteins,Humans,Kidney,Ligands,Models, Molecular,Mutagenesis,Plasmids,Protein Structure, Secondary,Rats,Receptor, Serotonin, 5-HT1A,Recombinant Proteins,Transfection,",7,37,No,True Negative
0.3,16192386,Differential roles of nuclear and cytoplasmic cyclin-dependent kinase 5 in apoptotic and excitotoxic neuronal death.,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Michael J O'hare, Neena null Kushwaha, Yi null Zhang, Hossein null Aleyasin, Steven M Callaghan, Ruth S Slack, Paul R Albert, Inez null Vincent, David S Park, ","Department of Cellular and Molecular Medicine, University of Ottawa, Ottawa Health Research Institute, Ottawa, Ontario, K1H 8M5, Canada., ","Animals,Apoptosis,Caspases,Cell Death,Cell Line,Cell Nucleus,Cyclin-Dependent Kinase 5,Cytoplasm,DNA Damage,Enzyme Activation,Glutamic Acid,Humans,Mice,Mice, Knockout,Mice, Transgenic,Nerve Tissue Proteins,Neurons,Neurotoxins,Phosphotransferases,",7,37,No,True Negative
0.3,15733090,Coupling of 5-HT1A autoreceptors to inhibition of mitogen-activated protein kinase activation via G beta gamma subunit signaling.,The European journal of neuroscience,"Neena null Kushwaha, Paul R Albert, ","Ottawa Health Research Institute (Neurosciences) and Department of Cellular and Molecular Medicine, University of Ottawa, 451 Smyth Road, Ottawa, Ontario, Canada K1H 8M5., ","8-Hydroxy-2-(di-n-propylamino)tetralin,Animals,Autoreceptors,Cell Line,Enzyme Activation,GTP-Binding Protein beta Subunits,GTP-Binding Protein gamma Subunits,Mitogen-Activated Protein Kinases,Rats,Receptor, Serotonin, 5-HT1A,Serotonin 5-HT1 Receptor Agonists,Signal Transduction,",7,37,No,True Negative
0.3,15534042,"5-HT1A receptors, gene repression, and depression: guilt by association.","The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry","Paul R Albert, Sylvie null Lemonde, ","Ottawa Health Research Institute, Neuroscience University of Ottawa, Ottawa, Canada., ","Animals,Brain,Depressive Disorder, Major,Disease Models, Animal,Genes, Regulator,Genetic Predisposition to Disease,Humans,Mutation,Receptor, Serotonin, 5-HT1A,Repressor Proteins,Serotonin,",7,37,No,True Negative
0.3,15447813,Association of the C(-1019)G 5-HT1A functional promoter polymorphism with antidepressant response.,The international journal of neuropsychopharmacology / official scientific journal of the Collegium Internationale Neuropsychopharmacologicum (CINP),"Sylvie null Lemonde, Lisheng null Du, David null Bakish, Pavel null Hrdina, Paul R Albert, ","Ottawa Health Research Institute (Neuroscience), University of Ottawa, Department of Medicine, Ottawa, Canada, K1H 8M5., ","Adrenergic beta-Antagonists,Adult,Alleles,Antidepressive Agents,Antidepressive Agents, Second-Generation,Benzimidazoles,Cohort Studies,Depressive Disorder,Drug Therapy, Combination,Female,Fluoxetine,Humans,Male,Middle Aged,Pindolol,Polymorphism, Genetic,Promoter Regions, Genetic,Psychiatric Status Rating Scales,Receptor, Serotonin, 5-HT1A,Triazoles,",7,37,No,True Negative
0.3,15105421,The proapoptotic gene SIVA is a direct transcriptional target for the tumor suppressors p53 and E2F1.,The Journal of biological chemistry,"Andre null Fortin, Jason G Maclaurin, Nicole null Arbour, Sean P Cregan, Neena null Kushwaha, Steven M Callaghan, David S Park, Paul R Albert, Ruth S Slack, ","Ottawa Health Research Institute, Neuroscience Centre and Department of Cellular and Molecular Medicine, University of Ottawa, 451 Smyth Road, Ottawa, Ontario K1H 8M5, Canada., ","Adenoviridae,Animals,Apoptosis,Apoptosis Regulatory Proteins,Base Sequence,Binding Sites,Blotting, Western,Camptothecin,Carrier Proteins,Cell Cycle Proteins,Cells, Cultured,DNA Damage,DNA, Complementary,DNA-Binding Proteins,E2F Transcription Factors,E2F1 Transcription Factor,Genes, Reporter,Humans,Intracellular Signaling Peptides and Proteins,Luciferases,Male,Mice,Mice, Inbred C57BL,Models, Genetic,Molecular Sequence Data,Neurons,Oligonucleotide Array Sequence Analysis,Promoter Regions, Genetic,Protein Binding,Protein Structure, Tertiary,RNA,RNA, Messenger,Reverse Transcriptase Polymerase Chain Reaction,Time Factors,Transcription Factors,Tumor Suppressor Protein p53,Up-Regulation,",7,37,No,True Negative
0.3,15096504,"RGS17/RGSZ2, a novel regulator of Gi/o, Gz, and Gq signaling.",The Journal of biological chemistry,"Helen null Mao, Qingshi null Zhao, Mireille null Daigle, Mohammad H Ghahremani, Peter null Chidiac, Paul R Albert, ","Department of Neuroscience, Ottawa Health Research Institute, University of Ottawa, Ottawa, Ontario K1H 8M5, Canada., ","Amino Acid Motifs,Amino Acid Sequence,Animals,Blotting, Northern,Blotting, Western,Calcium,Cell Line,Cysteine,Dose-Response Relationship, Drug,Escherichia coli,GTP Phosphohydrolases,GTP-Binding Protein alpha Subunits,GTP-Binding Protein alpha Subunits, Gi-Go,GTP-Binding Protein alpha Subunits, Gq-G11,GTP-Binding Proteins,Gene Expression Regulation,Glutathione Transferase,Humans,Insects,Molecular Sequence Data,Plasmids,Precipitin Tests,Protein Binding,Protein Structure, Tertiary,RNA,Rats,Sequence Homology, Amino Acid,Time Factors,Two-Hybrid System Techniques,",7,37,No,True Negative
0.3,15062554,Forskolin-resistant Y1 adrenal cell mutants are deficient in adenylyl cyclase type 4.,Molecular and cellular endocrinology,"Abdallah null Al-hakim, Xianliang null Rui, Jennivine null Tsao, Paul R Albert, Bernard P Schimmer, ","Department of Pharmacology, University of Toronto, Toronto, Ont., Canada M5G 1L6., ","Adenylate Cyclase,Adrenal Cortex Neoplasms,Animals,Cell Division,Cell Line, Tumor,Cell Size,Colforsin,Cyclic AMP,Dose-Response Relationship, Drug,Drug Resistance,Mice,Mutation,Protein Isoforms,RNA, Messenger,",7,37,No,True Negative
0.3,15026181,Expression of adenylyl cyclase-4 (AC-4) in Y1 and forskolin-resistant adrenal cells.,Molecular and cellular endocrinology,"Xianliang null Rui, Abdallah null Al-hakim, Jennivine null Tsao, Paul R Albert, Bernard P Schimmer, ","Banting and Best Department of Medical Research, University of Toronto, 112 College Street, Toronto, Ont., Canada M5G 1L6., ","Adenylate Cyclase,Adrenal Cortex Neoplasms,Adrenocorticotropic Hormone,Animals,Colforsin,Cyclic AMP,Drug Resistance,GTP-Binding Protein alpha Subunits, Gs,Mice,Mutation,Promoter Regions, Genetic,RNA, Messenger,Receptors, Corticotropin,Reverse Transcriptase Polymerase Chain Reaction,",7,37,No,True Negative
0.3,14756806,Cell type-dependent recruitment of trichostatin A-sensitive repression of the human 5-HT1A receptor gene.,Journal of neurochemistry,"Sylvie null Lemonde, Anastasia null Rogaeva, Paul R Albert, ","Ottawa Health Research Institute, Departments of Medicine and Cellular and Molecular Medicine, University of Ottawa, Ottawa, Canada., ","Animals,Brain,Carrier Proteins,Cell Line,Cloning, Molecular,Dose-Response Relationship, Drug,Electrophoretic Mobility Shift Assay,Embryo, Mammalian,Enhancer Elements, Genetic,Gene Expression Regulation,Gene Silencing,Humans,Hydroxamic Acids,In Vitro Techniques,Kidney,Luciferases,Molecular Sequence Data,Myoblasts,Neurons,Promoter Regions, Genetic,Protein Synthesis Inhibitors,Rats,Receptor, Serotonin, 5-HT1A,Regulatory Sequences, Nucleic Acid,Repressor Proteins,Transcription Factors,Transfection,beta-Galactosidase,",7,37,No,True Negative
0.3,14507979,Impaired repression at a 5-hydroxytryptamine 1A receptor gene polymorphism associated with major depression and suicide.,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Sylvie null Lemonde, Gustavo null Turecki, David null Bakish, Lisheng null Du, Pavel D Hrdina, Christopher D Bown, Adolfo null Sequeira, Neena null Kushwaha, Stephen J Morris, Ajoy null Basak, Xiao-ming null Ou, Paul R Albert, ","Ottawa Health Research Institute (Neuroscience), University of Ottawa, Department of Medicine, Ottawa, Canada, K1H 8M5., ","Adult,Animals,Clone Cells,DNA,Depressive Disorder, Major,Down-Regulation,Drosophila Proteins,European Continental Ancestry Group,Female,Genetic Linkage,Genetic Predisposition to Disease,Genetic Testing,Humans,Macromolecular Substances,Male,Nuclear Proteins,Ontario,Polymorphism, Genetic,Promoter Regions, Genetic,Protein Binding,Protein Structure, Tertiary,Raphe Nuclei,Rats,Rats, Sprague-Dawley,Receptors, Serotonin,Receptors, Serotonin, 5-HT1,Repressor Proteins,Suicide,Transfection,",7,37,No,True Negative
0.3,12917378,Freud-1: A neuronal calcium-regulated repressor of the 5-HT1A receptor gene.,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Xiao-ming null Ou, Sylvie null Lemonde, Hamed null Jafar-nejad, Christopher D Bown, Aya null Goto, Anastasia null Rogaeva, Paul R Albert, ","Ottawa Health Research Institute, Neuroscience, University of Ottawa, Ottawa, Ontario, Canada K1H-8M5., ","Adenosine Triphosphate,Amino Acid Sequence,Animals,Binding Sites,Brain,Calcium,Cell Line,Cloning, Molecular,DNA-Binding Proteins,Gene Silencing,Molecular Sequence Data,Neurons,Protein Structure, Tertiary,RNA, Messenger,Raphe Nuclei,Rats,Receptors, Serotonin,Receptors, Serotonin, 5-HT1,Repressor Proteins,Silencer Elements, Transcriptional,",7,37,No,True Negative
0.3,12431910,Diacylglycerol and ceramide formation induced by dopamine D2S receptors via Gbeta gamma -subunits in Balb/c-3T3 cells.,American journal of physiology. Cell physiology,"Gele null Liu, Mohammad H Ghahremani, Behzad null Banihashemi, Paul R Albert, ","Ottawa Health Research Institute (Neuroscience), University of Ottawa, Canada K1H 8M5., ","3T3 Cells,Animals,Apomorphine,Cell Membrane,Ceramides,Diglycerides,Dose-Response Relationship, Drug,Eukaryotic Cells,GTP-Binding Protein alpha Subunit, Gi2,GTP-Binding Protein alpha Subunits, Gi-Go,Heterotrimeric GTP-Binding Proteins,Mice,Mice, Inbred BALB C,Mitogen-Activated Protein Kinases,Pertussis Toxin,Proto-Oncogene Proteins,Receptors, Dopamine D2,Second Messenger Systems,Type C Phospholipases,",7,37,No,True Negative
0.3,12376552,Growth hormone-induced diacylglycerol and ceramide formation via Galpha i3 and Gbeta gamma in GH4 pituitary cells. Potentiation by dopamine-D2 receptor activation.,The Journal of biological chemistry,"Gele null Liu, Liliane null Robillard, Behzad null Banihashemi, Paul R Albert, ","Ottawa Health Research Institute, Neuroscience 451 Smyth Road, Room 2464, University of Ottawa, Canada K1H 8M5., ","Apomorphine,Cells, Cultured,Ceramides,Diglycerides,GTP-Binding Proteins,Growth Hormone,Pertussis Toxin,Pituitary Gland,Receptors, Dopamine D2,",7,37,No,True Negative
0.3,12351703,"Dopamine-D2S receptor inhibition of calcium influx, adenylyl cyclase, and mitogen-activated protein kinase in pituitary cells: distinct Galpha and Gbetagamma requirements.","Molecular endocrinology (Baltimore, Md.)","Behzad null Banihashemi, Paul R Albert, ","Ottawa Health Research Institute, Neuroscience, Department of Medicine, University of Ottawa, Ottawa, Ontario, Canada K1H-8M5., ","Adenylate Cyclase,Animals,Calcium,Calcium Channels,Cells, Cultured,Colforsin,GTP-Binding Protein alpha Subunit, Gi2,GTP-Binding Protein alpha Subunits, Gi-Go,Heterotrimeric GTP-Binding Proteins,Mitogen-Activated Protein Kinases,Mutation,Pertussis Toxin,Pituitary Gland,Proto-Oncogene Proteins,Rats,Receptors, Dopamine D2,Thyrotropin-Releasing Hormone,",7,37,No,True Negative
0.3,12145343,G protein preferences for dopamine D2 inhibition of prolactin secretion and DNA synthesis in GH4 pituitary cells.,"Molecular endocrinology (Baltimore, Md.)","Paul R Albert, ","Ottawa Health Research Institute, Department of Neuroscience, University of Ottawa, Ottawa, Canada K1H-8M5. palbert@uottawa.ca","3-Pyridinecarboxylic acid, 1,4-dihydro-2,6-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)-, Methyl ester,Animals,Cell Line,DNA,GTP-Binding Protein alpha Subunits, Gi-Go,GTP-Binding Proteins,Pituitary Gland,Prolactin,Rats,Receptors, Dopamine D2,Receptors, Muscarinic,Receptors, Somatostatin,",7,37,No,True Negative
0.3,11882385,G protein specificity: traffic direction required.,Cellular signalling,"Paul R Albert, Liliane null Robillard, ","Ottawa Health Research Institute, Neuroscience, University of Ottawa, 451 Smyth Road, K1H-8M5, Ottawa, ON, Canada. palbert@uottawa.ca, ","Adenylate Cyclase,Amino Acid Sequence,Animals,Calcium Channels,GTP-Binding Protein alpha Subunits, Gi-Go,GTP-Binding Protein beta Subunits,GTP-Binding Protein gamma Subunits,Heterotrimeric GTP-Binding Proteins,Humans,Macromolecular Substances,Models, Biological,Potassium Channels,Receptors, Cell Surface,Sequence Alignment,Signal Transduction,",7,37,No,True Negative
0.3,24882717,Inflammatory disease and the human microbiome.,Discovery medicine,"Amy D Proal, Paul J Albert, Trevor G Marshall, 24882717 null 24882717, ","Autoimmunity Research Foundation, 3423 Hill Canyon Ave., Thousand Oaks, CA 91360, USA., Weill Cornell Medical College, 1300 York Ave., New York, NY 10065, USA., Autoimmunity Research Foundation, 3423 Hill Canyon Ave., Thousand Oaks, CA 91360, USA., Autoimmunity Research Foundation Autoimmunity Research Foundation Thousand Oaks United States Weill Cornell Medical College Weill Cornell Medical College Weill Medical College of Cornell University Cornell University Cornell University Medical College New York United States ","Gene Expression Regulation, Bacterial,Genome, Human,Genomics,Humans,Immunity, Innate,Inflammation,Metagenome,Microbiota,",8,14,Yes,False Positive
0.3,24694772,Automatic generation of investigator bibliographies for institutional research networking systems.,Journal of biomedical informatics,"Stephen B Johnson, Michael E Bales, Daniel null Dine, Suzanne null Bakken, Paul J Albert, Chunhua null Weng, ","Department of Public Health, Weill Cornell Medical College, New York, United States. Electronic address: johnsos@med.cornell.edu., Department of Biomedical Informatics, Columbia University, New York, United States., Department of Biomedical Informatics, Columbia University, New York, United States; The Irving Institute for Clinical and Translational Research, Columbia University, New York, United States., Department of Biomedical Informatics, Columbia University, New York, United States; The Irving Institute for Clinical and Translational Research, Columbia University, New York, United States., Samuel J. Wood Library, Weill Cornell Medical College, New York, United States., Department of Biomedical Informatics, Columbia University, New York, United States; The Irving Institute for Clinical and Translational Research, Columbia University, New York, United States.","Authorship,Automated,Bibliography as topic,MEDLINE,Natural language processing,Pattern recognition,",8,14,Yes,False Positive
0.3,23576059,Immunostimulation in the treatment for chronic fatigue syndrome/myalgic encephalomyelitis.,Immunologic research,"Amy D Proal, Paul J Albert, Trevor G Marshall, Greg P Blaney, Inge A Lindseth, 23576059 null 23576059, ","Autoimmunity Research Foundation, 3423 Hill Canyon Ave, Thousand Oaks, CA 91360, USA., Autoimmunity Research Foundation Autoimmunity Research Foundation Thousand Oaks United States Weill Cornell Medical College Weill Cornell Medical College Weill Medical College of Cornell University Cornell University Cornell University Medical College New York United States Murdoch University Murdoch University Perth Australia Stillpoint Centre Stillpoint Centre Vancouver Canada ","Coinfection,Dysbiosis,Fatigue Syndrome, Chronic,Gene Expression Regulation,Humans,Immunity, Innate,Immunization,Immunosuppression,Infection,Metagenome,Microbiota,Models, Biological,Receptors, Calcitriol,",8,14,Yes,True Positive
0.3,23510743,Role of protein kinase C in agonist-induced desensitization of 5-HTa‚�A receptor coupling to calcium channels in F11 cells.,European journal of pharmacology,"Xiaoping null Wu, Neena null Kushwaha, Probal null Banerjee, Paul R Albert, Nicholas J Penington, 23510743 null 23510743, ","Program in Neural , Robert F. Furchgott Center for Neural and Behavioral Science The Robert F. Furchgott Center for Neural and Behavioral Science Robert F. Furchgott Center for Neural and Behavioral Science New York United States SUNY Downstate Medical Center State University of New York SUNY Downstate Medical Center New York United States Ottawa Hospital Research Institute Ottawa Health Research Institute Ottawa Canada CSI/IBR Center for Developmental Neuroscience and Developmental Disabilities CSI/IBR Center for Developmental Neuroscience and Developmental Disabilities United States United States College of Staten Island City University of New York College of Staten Island New York United States The Neurological Institute of New York Neurological Institute Columbia University New York United States ","Animals,Barium,Calcium,Calcium Channels,Carbazoles,Cell Line, Tumor,Mice,Protein Kinase C,Protein Kinase Inhibitors,Rats,Receptor, Serotonin, 5-HT1A,Serotonin,Serotonin Receptor Agonists,",8,14,Yes,False Positive
0.3,23370376,The human microbiome and autoimmunity.,Current opinion in rheumatology,"Amy D Proal, Paul J Albert, Trevor G Marshall, 23370376 null 23370376, ","Autoimmunity Research Foundation, Sunnyside, New York 11104, USA. amy.proal@gmail.com, Autoimmunity Research Foundation Autoimmunity Research Foundation United States United States Weill Cornell Medical College Weill Cornell Medical College Weill Medical College of Cornell University Cornell University Cornell University Medical College New York United States Murdoch University Murdoch University Perth Australia ","Adjuvants, Immunologic,Autoantibodies,Autoimmune Diseases,Autoimmunity,Family,Female,Host-Pathogen Interactions,Humans,Immunity, Innate,Infection,Male,Metagenome,Models, Immunological,Molecular Mimicry,Polymorphism, Single Nucleotide,Receptors, Calcitriol,",8,14,Yes,True Positive
0.3,21278764,Immunostimulation in the era of the metagenome.,"Cellular ","Amy D Proal, Paul J Albert, Greg P Blaney, Inge A Lindseth, Chris null Benediktsson, Trevor G Marshall, 21278764 null 21278764, ","Murdoch University, Perth, WA, Australia. amy.proal@gmail.com, Murdoch University Murdoch University Perth Australia Weill Cornell Medical College Weill Cornell Medical College Weill Medical College of Cornell University Cornell University Cornell University Medical College New York United States Stillpoint Centre Stillpoint Centre Vancouver Canada Autoimmunity Research Foundation Autoimmunity Research Foundation Thousand Oaks United States ","Autoimmune Diseases,Bacteria,Disease Progression,Humans,Immunity, Innate,Immunization,Infection,Metagenome,Viruses,",8,14,Yes,True Positive
0.3,19758226,Reversing bacteria-induced vitamin D receptor dysfunction is key to autoimmune disease.,Annals of the New York Academy of Sciences,"Joyce C Waterhouse, Thomas H Perez, Paul J Albert, ","Autoimmunity Research Foundation, Thousand Oaks, California 91360, USA. jcw@autoimmunityresearch.org, ","Animals,Anti-Bacterial Agents,Arthritis, Reactive,Arthritis, Rheumatoid,Autoimmune Diseases,Bacterial Infections,Calcifediol,Calcitriol,Diabetes Mellitus, Type 1,Diabetes Mellitus, Type 2,Humans,Imidazoles,Minocycline,Psoriasis,Receptors, Calcitriol,Sarcoidosis,Scleroderma, Systemic,Sjogren's Syndrome,Spondylitis, Ankylosing,Tetrazoles,Thyroid Diseases,Uveitis,",8,14,Yes,True Positive
0.3,19758177,Vitamin D metabolites as clinical markers in autoimmune and chronic disease.,Annals of the New York Academy of Sciences,"Greg P Blaney, Paul J Albert, Amy D Proal, ","Stillpoint Centre, Vancouver, British Columbia, Canada. gregblaney@shaw.ca, ","Adult,Aged,Autoimmune Diseases,Biological Markers,Calcitriol,Chronic Disease,Fatigue Syndrome, Chronic,Female,Humans,Male,Middle Aged,Multiple Sclerosis,Osteoarthritis,Osteoporosis,Psoriasis,Radioimmunoassay,Vitamin D,Young Adult,",8,14,Yes,True Positive
0.3,19758159,Dysregulation of the vitamin D nuclear receptor may contribute to the higher prevalence of some autoimmune diseases in women.,Annals of the New York Academy of Sciences,"Amy D Proal, Paul J Albert, Trevor G Marshall, ","Georgetown University, Washington, DC, USA. amy.proal@gmail.com, ","Antimicrobial Cationic Peptides,Autoimmune Diseases,Binding Sites,Calcitriol,Cell Nucleus,Endometrium,Female,Humans,Immunity, Innate,Ligands,Male,Pregnancy,Receptors, Calcitriol,Receptors, Cytoplasmic and Nuclear,Sex Factors,Steroid Hydroxylases,Vitamin D3 24-Hydroxylase,beta-Defensins,",8,14,Yes,True Positive
0.3,19393200,Vitamin D: the alternative hypothesis.,Autoimmunity reviews,"Paul J Albert, Amy D Proal, Trevor G Marshall, ","Weill Cornell Medical College, New York, NY 10065, USA. paa2013@med.cornell.edu, ","Autoimmune Diseases,Bacteria,Humans,Neoplasms,Receptors, Calcitriol,Vitamin D,Vitamin D Deficiency,",8,14,Yes,True Positive
0.3,19393196,Autoimmune disease in the era of the metagenome.,Autoimmunity reviews,"Amy D Proal, Paul J Albert, Trevor null Marshall, ","Georgetown University, USA. amy.proal@gmail.com, ","Alkanesulfonic Acids,Autoantibodies,Autoimmune Diseases,Bacteria,DNA, Bacterial,Genomics,Humans,Immunity, Innate,Metabolome,Metabolomics,Metagenome,",8,14,Yes,True Positive
0.3,16518811,Lymphovascular invasion in prostate cancer: prognostic significance in patients treated with radiotherapy after radical prostatectomy.,Cancer,"Joseph P Brooks, Paul S Albert, John null O'connell, David G Mcleod, Matthew M Poggi, ","Division of Radiation Oncology, Walter Reed Army Medical Center, Washington, DC, USA., ","Aged,Combined Modality Therapy,Humans,Lymphatic Metastasis,Male,Middle Aged,Neoplasm Invasiveness,Prognosis,Prostate-Specific Antigen,Prostatectomy,Prostatic Neoplasms,Radiotherapy, Adjuvant,Retrospective Studies,Treatment Outcome,",8,14,Yes,False Positive
0.3,16280764,Long-term salvage radiotherapy outcome after radical prostatectomy and relapse predictors.,The Journal of urology,"Joseph P Brooks, Paul S Albert, Richard B Wilder, Dean A Gant, David G Mcleod, Matthew M Poggi, ","Section of Radiation Oncology, Department of Urology, Walter Reed Army Medical Center, Washington, D. C., USA., ","Aged,Disease-Free Survival,Follow-Up Studies,Humans,Lymphatic Metastasis,Male,Middle Aged,Multivariate Analysis,Neoplasm Invasiveness,Neoplasm Recurrence, Local,Predictive Value of Tests,Prognosis,Prostate-Specific Antigen,Prostatectomy,Prostatic Neoplasms,Radiotherapy, Adjuvant,Retrospective Studies,Risk Factors,Salvage Therapy,Treatment Outcome,Tumor Markers, Biological,",8,14,Yes,False Positive
0.3,15936560,Early ipsilateral breast tumor recurrences after breast conservation affect survival: an analysis of the National Cancer Institute randomized trial.,"International journal of radiation oncology, biology, physics","Joseph P Brooks, David N Danforth, Paul null Albert, Linda C Sciuto, Sharon L Smith, Kevin A Camphausen, Matthew M Poggi, ","Radiation Oncology Branch, National Cancer Institute, Bethesda, MD, USA., ","Adult,Breast Neoplasms,Female,Follow-Up Studies,Humans,Mastectomy, Modified Radical,Mastectomy, Segmental,Middle Aged,Neoplasm Recurrence, Local,Proportional Hazards Models,Radiotherapy, Adjuvant,Salvage Therapy,Survival Rate,",8,14,Yes,False Positive
0.3,24676689,A mixture of transition models for heterogeneous longitudinal ordinal data: with applications to longitudinal bacterial vaginosis data.,Statistics in medicine,"Kyeongmi null Cheon, Marie E Thoma, Xiangrong null Kong, Paul S Albert, ","Biometrics Research, Merck, West Point, PA 19486, U.S.A., ","Markov model,bacterial vaginosis,heterogeneity,longitudinal data,mixture model,mover stayer model,",9,2,No,True Negative
0.3,22082724,An evaluation of the natural history of bacterial vaginosis using transition models.,Sexually transmitted diseases,"Katherine Leanne Sanders, Marie E Thoma, Kai null Yu, Paul S Albert, 22082724 null 22082724, ","Department of Statistics, The Ohio State University, Columbus, OH, USA., Ohio State University Ohio State University The Ohio State University Columbus United States National Institute of Child Health and Human Development NIH National Institute of Child Health and Human Development Bethesda United States ","Adolescent,Adult,Disease Progression,Female,Humans,Hygiene,Markov Chains,Models, Biological,Sexual Behavior,Software,Vagina,Vaginosis, Bacterial,Young Adult,",9,2,No,True Negative
0.3,24461617,Bronchodilator reversibility in chronic obstructive pulmonary disease: use and limitations.,The Lancet. Respiratory medicine,"Peter m a null Calverley, Paul null Albert, Paul P Walker, 24461617 null 24461617, ","School of Ageing and Chronic Disease, University of Liverpool, Liverpool, UK; Aintree Chest Centre, University Hospital Aintree, Liverpool, UK. Electronic address: pmacal@liverpool.ac.uk., Aintree Chest Centre, University Hospital Aintree, Liverpool, UK., Aintree Chest Centre, University Hospital Aintree, Liverpool, UK., University of Liverpool University of Liverpool Liverpool United Kingdom University Hospital Aintree University Hospital Aintree Liverpool United Kingdom ","Bronchial Hyperreactivity,Bronchodilator Agents,Dose-Response Relationship, Drug,Forced Expiratory Volume,Forecasting,Humans,Predictive Value of Tests,Pulmonary Disease, Chronic Obstructive,Time Factors,Treatment Outcome,Vital Capacity,",10,8,No,True Negative
